condition	n	mean_ms	p50_ms	p95_ms	p99_ms	max_ms
http+normalize+tiers(T1-T3 only) — WO-1 baseline, 12 mixed queries, warm	500	0.911	0.874	1.091	1.384	6.290
http+normalize+tiers(T1-T6, T4/T6 wired) — WO-2 R3 initial, 18 mixed queries, warm	500	5.625	7.817	10.010	10.880	12.067
http+normalize+tiers(T1-T6, TOKEN precision gates + rebalanced TRIGRAM score) — WO-2 verification follow-up, 18 mixed queries, warm	500	10.266	9.966	11.856	21.294	28.139
tier4(kiwi TOKEN) standalone — WO-1 measurement, 6 mixed queries, warm	600	0.124	0.093	0.236	0.289	0.346
tier6(pg_trgm scratch) standalone — WO-1 measurement, 5 typo queries, warm	500	9.626	8.975	13.990	17.409	43.052
